[JASMINE IMPORT] Starting import process...
[JASMINE IMPORT] Parsed 27020 payment records
[JASMINE IMPORT] Grouped into 2350 unique contacts
[JASMINE IMPORT] Updating contact 0036A00000kBLmA
[JASMINE IMPORT] Updating contact 0036A000009KTpZ
[JASMINE IMPORT] Updating contact 0036A00000SZFfT
[JASMINE IMPORT] Updating contact 0033s00000yfT7f
[JASMINE IMPORT] Updating contact 0036A000009KTa1
[JASMINE IMPORT] Updating contact 0036A000009KTQn
[JASMINE IMPORT] Creating contact 0036A000009KTPN
[JASMINE IMPORT] Creating contact 0036A00000xg2Sx
[JASMINE IMPORT] Creating contact 0036A00000hLj23
[JASMINE IMPORT] Creating contact 0033s00000yfUFr
[JASMINE IMPORT] Creating contact 0036A00000KJIrC
[JASMINE IMPORT] Creating contact 0036A00000ixvZV
[JASMINE IMPORT] Creating contact 0036A00000Av4IK
[JASMINE IMPORT] Creating contact 0036A00000AvKu5
[JASMINE IMPORT] Creating contact 0036A00000YbBVu
[JASMINE IMPORT] Creating contact 0036A00000kB4Ug
[JASMINE IMPORT] Creating contact 0036A000009KTHo
[JASMINE IMPORT] Creating contact 0036A000009KTgm
[JASMINE IMPORT] Creating contact 0033s00000yfXkj
[JASMINE IMPORT] Creating contact 0036A00000vJPde
[JASMINE IMPORT] Creating contact 0036A000009KT6M
[JASMINE IMPORT] Creating contact 0036A00000AvRxf
[JASMINE IMPORT] Creating contact 0036A000009KTcU
[JASMINE IMPORT] Creating contact 0036A000009KTa0
[JASMINE IMPORT] Creating contact 0036A000001iy3o
[JASMINE IMPORT] Creating contact 0036A00000wPxnz
[JASMINE IMPORT] Creating contact 0036A000009KTgO
[JASMINE IMPORT] Creating contact 0036A000009KTCf
[JASMINE IMPORT] Creating contact 0036A000009KSz5
[JASMINE IMPORT] Creating contact 0036A00000EdfVl
[JASMINE IMPORT] Creating contact 0036A00000WgPZ5
[JASMINE IMPORT] Creating contact 0036A00000KIwNM
[JASMINE IMPORT] Creating contact 0036A000009KTgz
[JASMINE IMPORT] Creating contact 0036A000009KTLc
